iter	Logloss
0	0.6848223565
1	0.6780633281
2	0.670558463
3	0.6641200274
4	0.6577178091
5	0.6496188252
6	0.6433278212
7	0.6368814483
8	0.6298045768
9	0.6240455139
10	0.6180664605
11	0.6114340656
12	0.6048768834
13	0.5995199137
14	0.5940406584
15	0.5882060442
16	0.5833115809
17	0.5780307052
18	0.5718112121
19	0.5667183671
20	0.5610292538
21	0.5561615041
22	0.5518613553
23	0.5468103874
24	0.5414288909
25	0.5376945549
26	0.5327245421
27	0.5282570992
28	0.5243302319
29	0.5200835293
30	0.5149944494
31	0.5108031145
32	0.5072483598
33	0.5040570313
34	0.4993067316
35	0.4948375476
36	0.4914978925
37	0.4875028465
38	0.4835123685
39	0.4792564836
40	0.475892629
41	0.4733386577
42	0.4696103217
43	0.4668386442
44	0.4637623888
45	0.4610708473
46	0.4586267211
47	0.4549437231
48	0.4522622972
49	0.4484193532
50	0.4448016454
51	0.4414789764
52	0.438914652
53	0.4365493464
54	0.4343990581
55	0.4314524151
56	0.4286626316
57	0.425763724
58	0.4225333344
59	0.4205398248
60	0.4169932867
61	0.4142100689
62	0.4114230502
63	0.4085626623
64	0.4055143457
65	0.4032185466
66	0.4008504403
67	0.3984704972
68	0.3968184835
69	0.3948194849
70	0.3923765579
71	0.3903911689
72	0.3889180914
73	0.3865871104
74	0.3843662221
75	0.3819373783
76	0.3799697991
77	0.37789531
78	0.376126135
79	0.3739715428
80	0.3717673582
81	0.36893961
82	0.3677488667
83	0.3659597407
84	0.363877582
85	0.3619383127
86	0.3602814833
87	0.3588502749
88	0.3570349403
89	0.355029277
90	0.3523613663
91	0.3506235159
92	0.3492292753
93	0.3480999703
94	0.34618308
95	0.3447025038
96	0.3431037492
97	0.3415748577
98	0.3399334389
99	0.3386628974
100	0.3368515831
101	0.3351726496
102	0.3337955424
103	0.3325591571
104	0.3307033829
105	0.3289889657
106	0.3276437538
107	0.326393009
108	0.3252568353
109	0.3240725316
110	0.322717859
111	0.321718868
112	0.320765307
113	0.3195970865
114	0.3184129621
115	0.3171898774
116	0.3160504341
117	0.3146398208
118	0.3134845687
119	0.311583389
120	0.3097820797
121	0.3086703161
122	0.307231586
123	0.306220572
124	0.3051735386
125	0.3040847704
126	0.302746085
127	0.3016605145
128	0.300393608
129	0.2993667762
130	0.2983852172
131	0.297398447
132	0.296561793
133	0.2953616907
134	0.2940060546
135	0.2932365263
136	0.2922353777
137	0.2905581114
138	0.2894993478
139	0.2885276672
140	0.2876449498
141	0.2862979308
142	0.2853601458
143	0.2843207822
144	0.2833352908
145	0.2820881327
146	0.2812723004
147	0.2804860488
148	0.2795829104
149	0.278451667
150	0.2775682809
151	0.2768594506
152	0.2761938259
153	0.2753707473
154	0.2744244031
155	0.2737511255
156	0.2727229021
157	0.271407837
158	0.2705896569
159	0.269564561
160	0.2682469935
161	0.2669618479
162	0.265964509
163	0.2651033885
164	0.2641852845
165	0.263108999
166	0.2622610556
167	0.2615187736
168	0.2606291804
169	0.2595873443
170	0.2588055379
171	0.2579936269
172	0.2572127059
173	0.2566537585
174	0.2557413387
175	0.254788545
176	0.2537234664
177	0.2530987543
178	0.2523813988
179	0.2519528313
180	0.2506264472
181	0.250012949
182	0.2492866687
183	0.2484280093
184	0.2478781891
185	0.2473239349
186	0.2466281543
187	0.2459100217
188	0.244928389
189	0.2441062609
190	0.2435386976
191	0.2427939147
192	0.2422815794
193	0.2415969746
194	0.2408461129
195	0.2399853114
196	0.2390945197
197	0.2385499778
198	0.2377520248
199	0.237129357
200	0.2364558684
201	0.2359416803
202	0.2353128146
203	0.2345491785
204	0.2340976581
205	0.23346054
206	0.2327187331
207	0.2322645372
208	0.2314727482
209	0.2309354705
210	0.2302967452
211	0.2295802851
212	0.2290370962
213	0.2281945812
214	0.2276106981
215	0.2267425608
216	0.2260452534
217	0.2255654421
218	0.2251676306
219	0.2245065327
220	0.2239160188
221	0.2234634245
222	0.2231421665
223	0.222587773
224	0.2220585592
225	0.2214781197
226	0.2210288522
227	0.2204142562
228	0.2197948371
229	0.2192628741
230	0.218786047
231	0.2182242417
232	0.217699384
233	0.2170612465
234	0.2166499659
235	0.2162018175
236	0.2157052985
237	0.2151817797
238	0.2143558779
239	0.2138614015
240	0.2132543029
241	0.2127663908
242	0.2122260553
243	0.2116841495
244	0.2112425066
245	0.2107911135
246	0.2101401905
247	0.2098022375
248	0.2092368354
249	0.2086489896
250	0.2081217618
251	0.2076691304
252	0.2072229462
253	0.2065782206
254	0.2062428376
255	0.2058128756
256	0.205394354
257	0.2048192656
258	0.204296165
259	0.2038025937
260	0.2033857226
261	0.2025946997
262	0.2020840562
263	0.2016451277
264	0.2010522296
265	0.2004982921
266	0.1998735099
267	0.1995485921
268	0.1989919435
269	0.1983775322
270	0.1980687101
271	0.1974270851
272	0.1968532224
273	0.1962422383
274	0.1958685964
275	0.195435128
276	0.194879171
277	0.1946380675
278	0.1942657595
279	0.1938751836
280	0.193437362
281	0.1930714197
282	0.1925617579
283	0.1919938689
284	0.1915928747
285	0.191208099
286	0.1905650342
287	0.1902110776
288	0.1899516104
289	0.1894669898
290	0.1890794622
291	0.1886980349
292	0.1883342361
293	0.1879539926
294	0.1874582664
295	0.1871617335
296	0.1866988764
297	0.1862814152
298	0.185819871
299	0.1854627319
300	0.1850673649
301	0.1847559274
302	0.184289927
303	0.1838033206
304	0.1834914479
305	0.1831733065
306	0.1829421506
307	0.182625655
308	0.1823432653
